Mã_tin,Tiêu_đề,Đường,Quận,Thành_phố,Diện_tích,Giá,Pháp_lý,Số_phòng_ngủ,Số_phòng_toilet,Ngày_đăng,Mô_tả,chi_tiet_link
120637,"NGANG 5M, DT 85M, 4 TẦNG – NỞ HẬU - ĐƯỜNG NGUYỄN THIỆN THUẬT – 20.2 TỶ",nguyễn thiện thuật,Bình Thạnh,Hồ Chí Minh,85 m²,20 tỷ 200 triệu,Sổ đỏ/ Sổ hồng,6 phòng,4 phòng,27/09/2024,"- Là căn duy nhất bán trên mặt đường Nguyễn Thiện Thuật đoạn đường sầm uất tấp nập nhất ngay đoạn đầu Lê Quang Định - Huỳnh Đình Hai nối với Bùi Đình Tuý.,",https://batdongsan.vn/ngang-5m-dt-85m-4-tang-no-hau-duong-nguyen-thien-thuat-202-ty-r120637
120638,"BÁN 2 CĂN LIỀN KỀ ĐƯỜNG HOÀNG NGÂN, PHƯỜNG 16, QUẬN 8, TP HCM, GIÁ LÀ 28 TỶ",Hoàng Ngân,Quận 8,Hồ Chí Minh,320 m²,28 tỷ,Sổ đỏ/ Sổ hồng,,,27/09/2024,"Cần bán nhà đường Hoàng Ngân, Phường 16, Quận 8, vị trí đẹp, giá tốt",https://batdongsan.vn/ban-2-can-lien-ke-duong-hoang-ngan-phuong-16-quan-8-tp-hcm-gia-la-28-ty-r120638
120640,"BÁN NHÀ HAI MẶT TIỀN ĐANG KINH DOANH TỐT TẠI ĐƯỜNG SỐ 1, PHƯỜNG LINH TRUNG, TP THỦ ĐỨC, HCM, GIÁ",Số 1,Thủ Đức,Hồ Chí Minh,315 m²,0000,Sổ đỏ/ Sổ hồng,,,27/09/2024,Nhà hai mặt tiền đang kinh doanh tốt - Chính chủ sắp định cư Mỹ nên bán gấp với giá rẻ,https://batdongsan.vn/ban-nha-hai-mat-tien-dang-kinh-doanh-tot-tai-duong-so-1-phuong-linh-trung-tp-thu-duc-hcm-gia-r120640
120641,👉SIÊU PHẨM 3 TẦNG - 44M2 - HẺM ôtô THOÁNG - GIÁ CHỈ 4° TỶ - MÃ LÒ - BÌNH TRỊ ĐÔNG A - KỀ KHU TÊN,mã lò,Bình Tân,Hồ Chí Minh,44 m²,4 tỷ,Sổ đỏ/ Sổ hồng,3 phòng,,27/09/2024,👉SIÊU PHẨM 3 TẦNG - 44M2 - HẺM ôtô THOÁNG - GIÁ CHỈ 4° TỶ - MÃ LÒ - BÌNH TRỊ ĐÔNG A - KỀ KHU TÊN LỬA 🎉🎉,https://batdongsan.vn/sieu-pham-3-tang-44m2-hem-oto-thoang-gia-chi-4-ty-ma-lo-binh-tri-dong-a-ke-khu-ten-r120641
120642,"Bán nhà ngõ 41 Thái Hà, Hà Nội. DT 61m² x 5 tầng x MT 4.4m. x 10.8 tỷ.",Thái Hà,Đống Đa,Hà Nội,61 m²,10 tỷ 800 triệu,Sổ đỏ/ Sổ hồng,5 phòng,4 phòng,27/09/2024,"Bán nhà ngõ 41 Thái Hà, Hà Nội. DT 61m² x 5 tầng x MT 4.4m. x 10.8 tỷ.",https://batdongsan.vn/ban-nha-ngo-41-thai-ha-ha-noi-dt-61m2-x-5-tang-x-mt-44m-x-108-ty-r120642
120643,"Nhà Lê Quang Định,p.11,Bình Thạnh - 84m2 hẻm xe tải 482, 5 tầng chỉ 14ty",Lê Quang Định,Bình Thạnh,Hồ Chí Minh,84 m²,14 tỷ,Sổ đỏ/ Sổ hồng,4 phòng,5 phòng,27/09/2024,"Mô tả:thoa+Dt : 6 x 14+ Kết cấu: 1 hầm, 1 trệt, 4 lầu, sân thượng.+ Nhà mới đẹp ở với 4PN 5WC. có phòng master. có thể làm thêm 3PN.+ HXT né nhau, có hầm.+ Vị trí, dân trí tốt. an ninh.+ Sổ đẹp. Hoàn công đầy đủ. Công chứng ngay.",https://batdongsan.vn/nha-le-quang-dinhp11binh-thanh-84m2-hem-xe-tai-482-5-tang-chi-14ty-r120643
120645,"84m2 , 5 tâng , Lê Quang Định,p.11,Bình Thạnh,hẻm xe tải 482, chỉ 14ty",Lê Quang Định,Bình Thạnh,Hồ Chí Minh,84 m²,14 tỷ,Sổ đỏ/ Sổ hồng,4 phòng,5 phòng,27/09/2024,"Mô tả:thoa+Dt : 6 x 14+ Kết cấu: 1 hầm, 1 trệt, 4 lầu, sân thượng.+ Nhà mới đẹp ở với 4PN 5WC. có phòng master. có thể làm thêm 3PN.+ HXT né nhau, có hầm.+ Vị trí, dân trí tốt. an ninh.+ Sổ đẹp. Hoàn công đầy đủ. Công chứng ngay.",https://batdongsan.vn/84m2-5-tang-le-quang-dinhp11binh-thanhhem-xe-tai-482-chi-14ty-r120645
120647,PHÂN KHÚC HIẾM CẦU GIẤY - SỔ NỞ HẬU - VỊ TRÍ ĐẸP - 38M2 - NHỈNH 5 TỶ- ĐẦY ĐỦ TIỆN NGHI.,Cầu Giấy,Cầu Giấy,Hà Nội,40 m²,5 tỷ 800 triệu,Sổ đỏ/ Sổ hồng,3 phòng,4 phòng,27/09/2024,PHÂN KHÚC HIẾM CẦU GIẤY - SỔ NỞ HẬU - VỊ TRÍ ĐẸP - 38M2 - NHỈNH 5 TỶ- ĐẦY ĐỦ TIỆN NGHI.,https://batdongsan.vn/phan-khuc-hiem-cau-giay-so-no-hau-vi-tri-dep-38m2-nhinh-5-ty-day-du-tien-nghi-r120647
120650,"Bán nhà phố Thái Hà, Hà Nội. DT 56m² x 5 tầng x MT 5.4m. Chỉ 16.5 tỷ",Thái Hà,Đống Đa,Hà Nội,56 m²,16 tỷ 500 triệu,Sổ đỏ/ Sổ hồng,5 phòng,4 phòng,27/09/2024,"Bán nhà phố Thái Hà, Hà Nội. DT 56m² x 5 tầng x MT 5.4m. Chỉ 16.5 tỷ.",https://batdongsan.vn/ban-nha-pho-thai-ha-ha-noi-dt-56m2-x-5-tang-x-mt-54m-chi-165-ty-r120650
120653,"Bán nhà ngõ 117 Trần Cung - DT 55m², 4 tầng, mặt tiền 5.5m, giá 7.8 tỷ",Trần Cung,Bắc Từ Liêm,Hà Nội,55 m²,7 tỷ 800 triệu,Sổ đỏ/ Sổ hồng,4 phòng,4 phòng,27/09/2024,"Bán nhà ngõ 117 Trần Cung - DT 55m², 4 tầng, mặt tiền 5.5m, giá 7.8 tỷ",https://batdongsan.vn/ban-nha-ngo-117-tran-cung-dt-55m2-4-tang-mat-tien-55m-gia-78-ty-r120653
120654,Bán đất tặng nhà 2 tầng 36m2 chỉ 3ty750 Nguyễn Văn Đậu Bình Thạnh,Nguyễn Văn Đậu,Bình Thạnh,Hồ Chí Minh,36 m²,3 tỷ 750 triệu,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,27/09/2024,"- Bán đất tặng nhà, diện tích khủng giá cực mềm 5.2 x 7 chỉ 3ty75 còn bớt,gần Hoàng Hoa Thám, Phạm Văn Đồng, ..- Nhà cũ tiện xây mới tuy nhiên nhà vẫn còn ở tốt, cách 10m ra đường lớn ô tô tránh nhau.- Kết cấu: Trệt - Lầu, 2 phòng ngủ, 2wc, phòng khách cực rộng, sân để xe rộng rải.- Nhà gần chợ, trường học các cấp, tiện ích không thiếu món gì.- Nhà chính chủ, công nhận đủ, sổ hoàn công đầy đủ. (lethom)",https://batdongsan.vn/ban-dat-tang-nha-2-tang-36m2-chi-3ty750-nguyen-van-dau-binh-thanh-r120654
120655,"Bán nhà đường Phạm Văn Chí, P3, Quận 6, Hẻm 4m, 62m2, 4 tầng, Chỉ 6,46 tỷ",Phạm Văn Chí,Quận 6,Hồ Chí Minh,62 m²,5 tỷ 460 triệu,Sổ đỏ/ Sổ hồng,4 phòng,4 phòng,27/09/2024,Mô tả:,https://batdongsan.vn/ban-nha-duong-pham-van-chi-p3-quan-6-hem-4m-62m2-4-tang-chi-646-ty-r120655
120657,"Chính chủ 60 năm, nhà C4 33m2 chỉ 3ty8 Nguyễn Văn Trỗi, p8, Phú Nhuận",Nguyễn Văn Trỗi,Phú Nhuận,Hồ Chí Minh,33 m²,3 tỷ 800 triệu,Sổ đỏ/ Sổ hồng,2 phòng,1 phòng,27/09/2024,"CHỈ 3.8 TỶ - 33M2 - NGUYỄN VĂN TRỖI - PHÚ NHUẬN - RẺ NHẤT KHU VỰC - CHỦ Ở 60 NĂM - DT: 4.2 nở hậu 4.8 x 7  + Kết cấu 1 trệt 1 lầu. Gồm: 2PN, 1WC, sân rộng, cửa hông, bếp, phòng khách. Nhà thích hợp mua đầu tư cho thuê giữ tiền, hoặc xây mới theo ý khách. Khu vực xây cao tầng đồng bộ, gần Nguyễn Trọng Tuyển, cafe Miền Đồng Thảo .. + Vị trí đẹp, hẻm ba gác, cách mặt tiền vài bước chân, khu vực sầm uất, gần công viên Hoàng Văn Thụ, chợ, siêu thị, sân bay .. tiện ích xung quanh không thiếu gì. ,+ Sổ hồng riêng, nhà không lỗi phong thủy, không qui hoạch, không Lộ giới, nhà hoàn công đầy đủ, công chứng ngay. (vpthao)",https://batdongsan.vn/chinh-chu-60-nam-nha-c4-33m2-chi-3ty8-nguyen-van-troi-p8-phu-nhuan-r120657
120658,"CHÍNH CHỦ CẦN BÁN NHÀ KIM GIANG 33M X 3 TẦNG, MT3.3M GIÁ CHƯA ĐẾN 3 TỶ",Kim Giang,Hoàng Mai,Hà Nội,33 m²,2 tỷ 900 triệu,Sổ đỏ/ Sổ hồng,4 phòng,3 phòng,27/09/2024,"CHÍNH CHỦ CẦN BÁN NHÀ KIM GIANG 33M X 3 TẦNG, MT3.3M GIÁ CHƯA ĐẾN 3 TỶ",https://batdongsan.vn/chinh-chu-can-ban-nha-kim-giang-33m-x-3-tang-mt33m-gia-chua-den-3-ty-r120658
120659,"CHÍNH CHỦ BÁN ĐẤT MẶT TIỀN ĐƯỜNG LÊ VĂN LƯƠNG, XÃ NHƠN ĐỨC, HUYỆN NHÀ BÈ, GIÁ LÀ 21.5 TỶ",Lê Văn Lương,Nhà Bè,Hồ Chí Minh,,21 tỷ 500 triệu,Sổ đỏ/ Sổ hồng,,,27/09/2024,"Chính chủ cần tiền bán gấp đất mặt tiền Lê Văn Lương. Xã Nhơn Đức, Huyện Nhà Bè",https://batdongsan.vn/chinh-chu-ban-dat-mat-tien-duong-le-van-luong-xa-nhon-duc-huyen-nha-be-gia-la-215-ty-r120659
120660,"Mặt tiền căn góc đúc 5 tấm Q 4 hơn 2 ,5 tỷ xx XE HƠI TẢI NGAY NHÀ",Đoàn Văn Bơ,Quận 4,Hồ Chí Minh,75 m²,2 tỷ 950 triệu,Sổ đỏ/ Sổ hồng,3 phòng,3 phòng,27/09/2024,"Mặt tiền căn góc đúc 5 tấm Q 4 hơn 2 ,5 tỷ xx",https://batdongsan.vn/mat-tien-can-goc-duc-5-tam-q-4-hon-2-5-ty-xx-xe-hoi-tai-ngay-nha-r120660
120661,Gần Chùa Nghệ Sỹ - HXH 50m ra mặt tiền - (3.2 x 10)m - BTCT 2 Tầng,Nguyễn Văn Khối,Gò Vấp,Hồ Chí Minh,32 m²,3 tỷ 390 triệu,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,27/09/2024,Chỉ 3.39 thương lượng,https://batdongsan.vn/gan-chua-nghe-sy-hxh-50m-ra-mat-tien-32-x-10m-btct-2-tang-r120661
120662,MP NGUYỄN ĐÌNH CHIỂU 40m2 – 8T- MT 4.2m –THANG MÁY-KINH DOANH-VỈA HÈ- VIEW HỒ -GIÁ CHÀO 33.5 TỶ,Nguyễn Du,Hai Bà Trưng,Hà Nội,40 m²,33 tỷ 500 triệu,Sổ đỏ/ Sổ hồng,5 phòng,3 phòng,27/09/2024,Thông tin mô tả:,https://batdongsan.vn/mp-nguyen-dinh-chieu-40m2-8t-mt-42m-thang-may-kinh-doanh-via-he-view-ho-gia-chao-335-ty-r120662
120663,"Bán nhà 4 tầng Chu Văn An ,P.12, 58m2,4PN",Chu Văn An,Bình Thạnh,Hồ Chí Minh,58 m²,5 tỷ 900 triệu,Sổ đỏ/ Sổ hồng,4 phòng,4 phòng,27/09/2024,"Bán nhà 4 tầng Chu Văn An ,P.12, 58m2,4PN",https://batdongsan.vn/ban-nha-4-tang-chu-van-an-p12-58m24pn-r120663
120664,"HIẾM CÓ KHÓ TÌM - SIÊU PHẨM DÂN XÂY PHỐ THÁI HÀ, ĐỐNG ĐA, Ở NGAY, 62M2, CHỈ 10,5 TỶ",Thái Hà,Đống Đa,Hà Nội,62 m²,10 tỷ 500 triệu,Sổ đỏ/ Sổ hồng,9 phòng,5 phòng,27/09/2024,"+ Diện tích 62m², 5 tầng, mặt tiền 4,5m, giá 10,5 tỷ có thương lượng.",https://batdongsan.vn/hiem-co-kho-tim-sieu-pham-dan-xay-pho-thai-ha-dong-da-o-ngay-62m2-chi-105-ty-r120664
120668,"BÁN NHÀ PHỐ TRUNG LIỆT, ĐỐNG ĐA, 68M2 x 4T, MT 5M, DÂN XÂY, SÁT PHỐ, GIÁ 12 TỶ",Trung Liệt,Đống Đa,Hà Nội,68 m²,12 tỷ,Sổ đỏ/ Sổ hồng,5 phòng,4 phòng,27/09/2024,"Diện tích 68m², mặt tiền 5,2m, nhà xây 4 tầng, ở ngay, giá 12 tỷ thương lượng.",https://batdongsan.vn/ban-nha-pho-trung-liet-dong-da-68m2-x-4t-mt-5m-dan-xay-sat-pho-gia-12-ty-r120668
120670,"Cần bán gấp nhà phố An Trạch, Đống Đa - cách ô tô 20m - nhà đẹp ở luôn, 39m2 x 4 tầng, MT 4,8m,",An Trạch,Đống Đa,Hà Nội,39 m²,8 tỷ 800 triệu,Sổ đỏ/ Sổ hồng,3 phòng,4 phòng,27/09/2024,"+ Diện tích: 48m2, 4 tầng, mặt tiền 4,8m, giá 8,8 tỷ thương lượng.",https://batdongsan.vn/can-ban-gap-nha-pho-an-trach-dong-da-cach-o-to-20m-nha-dep-o-luon-39m2-x-4-tang-mt-48m-r120670
120671,GẦN AO ĐÔI - LÊ VĂN QUỚI - HẺM XE TẢI THÔNG - 4 TẦNG 4PN - 70M2 - GIÁ 5.9 TỶ TL,Quốc lộ 1A,Bình Tân,Hồ Chí Minh,70 m²,5 tỷ 900 triệu,Sổ đỏ/ Sổ hồng,4 phòng,6 phòng,27/09/2024,"+ Đường xe tải thông, Khu VIP gần Lê Văn Quới, 5 Phút qua Tân Phú",https://batdongsan.vn/gan-ao-doi-le-van-quoi-hem-xe-tai-thong-4-tang-4pn-70m2-gia-59-ty-tl-r120671
120672,"BÁN NHÀ PHỐ THÁI HÀ 39M2, 6 TẦNG THANG MÁY, MT 5,5M, NỘI THẤT XỊN XÒ, Ở NGAY THÁNG 10, GIÁ 10 TỶ",Thái Hà,Đống Đa,Hà Nội,39 m²,10 tỷ,Sổ đỏ/ Sổ hồng,4 phòng,5 phòng,27/09/2024,"Nhà phân lô ở ngay: 39m2, 6 tầng thang máy, mặt tiền 5,5m.",https://batdongsan.vn/ban-nha-pho-thai-ha-39m2-6-tang-thang-may-mt-55m-noi-that-xin-xo-o-ngay-thang-10-gia-10-ty-r120672
120722,MP HOA BẰNG - BIỆT THỰ CẦU GIẤY - VỊ TRÍ ĐẮC ĐỊA- 6 TẦNG 1 HẦM - THANG MÁY VI VU,Hoa Bằng,Cầu Giấy,Hà Nội,225 m²,58 tỷ 500 triệu,,,,27/09/2024,"NHÀ MẶT NGÕ HOA BẰNG TO NHƯ MẶT PHỐ. THANG MÁY, VỈA HÈ, KINH DOANH CỰC ĐỈNH",https://batdongsan.vn/mp-hoa-bang-biet-thu-cau-giay-vi-tri-dac-dia-6-tang-1-ham-thang-may-vi-vu-r120722
120723,Nhà 8x12m Xinh Xắn Chỉ 950 Triệu – Dọn Về Ngay!,1,Nhơn Trạch,Đồng Nai,96 m²,950 triệu,Sổ đỏ/ Sổ hồng,,,27/09/2024,- Mô tả:,https://batdongsan.vn/nha-8x12m-xinh-xan-chi-950-trieu-don-ve-ngay-r120723
120724,"Giá tốt!!! Mặt tiền Lê Sao DT 4.1x19m, 3 tấm mới",Lê Sao,Tân Phú,Hồ Chí Minh,78 m²,10 tỷ 600 triệu,Sổ đỏ/ Sổ hồng,3 phòng,4 phòng,28/09/2024,"Diện tích: 4.1m x 19m, vuông vức.",https://batdongsan.vn/gia-tot-mat-tien-le-sao-dt-41x19m-3-tam-moi-r120724
120725,MTKD Nguyễn Súy - chợ Tân Hương DT 4x25m. Giá tốt!!!,Nguyễn Súy,Tân Phú,Hồ Chí Minh,100 m²,11 tỷ 900 triệu,Sổ đỏ/ Sổ hồng,,1 phòng,28/09/2024,Nhà cấp 4 cũ,https://batdongsan.vn/mtkd-nguyen-suy-cho-tan-huong-dt-4x25m-gia-tot-r120725
120729,"Nhà C4 Bình Trưng Tây- 42m2- 2 PN, không QH chỉ 3.5 tỷ",số 10,Quận 2,Hồ Chí Minh,42 m²,3 tỷ 500 triệu,Sổ đỏ/ Sổ hồng,2 phòng,1 phòng,28/09/2024,"Nhà C4 Bình Trưng Tây- 42m2- 2 PN, không QH chỉ 3.5 tỷ",https://batdongsan.vn/nha-c4-binh-trung-tay-42m2-2-pn-khong-qh-chi-35-ty-r120729
120730,62// TRƯƠNG PHƯỚC PHAN - BÌNH TÂN - 28M2 - 2 TẦNG - 2PN - 2.55T TL- Ở NGAY,Trương Phước Phan,Bình Tân,Hồ Chí Minh,28 m²,2 tỷ 500 triệu,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,28/09/2024,✍️ Nhà 2 tầng,https://batdongsan.vn/62-truong-phuoc-phan-binh-tan-28m2-2-tang-2pn-255t-tl-o-ngay-r120730
120733,NHÀ TT CẦU GIẤY-LÔ GÓC-3 THOÁNG- TẶNG NỘI THẤT XIN XÒ- GIÁ CHỈ HƠN 9 TỶ,,Cầu Giấy,Hà Nội,52 m²,10 tỷ 600 triệu,Sổ đỏ/ Sổ hồng,3 phòng,4 phòng,28/09/2024,NHÀ TT CẦU GIẤY-LÔ GÓC-3 THOÁNG- TẶNG NỘI THẤT XIN XÒ- GIÁ CHỈ HƠN 9 TỶ,https://batdongsan.vn/nha-tt-cau-giay-lo-goc-3-thoang-tang-noi-that-xin-xo-gia-chi-hon-9-ty-r120733
120734,Bán Nhà Đồng Mai - Gần Trục Chính - Nhà Ở Ngay - Xây 4 Tầng,Quốc lộ 6,Hà Đông,Hà Nội,32 m²,3 tỷ 200 triệu,Sổ đỏ/ Sổ hồng,,,28/09/2024,"- Vị trí: Nhà nằm tại phường Đồng Mai, gần cây xăng Đồng Mai đi vào, gần đường QL6, cách bến xe Yên Nghĩa 5p xe",https://batdongsan.vn/ban-nha-dong-mai-gan-truc-chinh-nha-o-ngay-xay-4-tang-r120734
